dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
Wiki-1M,implicit-scaffold,128,pivot-ternary,float32,1000000,768,256,1,4,4096,12,1234,152.462737,152.462737,0,0,0,0,nan,0.072917,0.096326,3.998779
Wiki-1M,implicit-scaffold,128,pivot-ternary,float32,1000000,768,256,2,4,4096,12,1234,155.751521,308.214258,0,0,0,0,nan,0.132080,0.174483,7.773682
Wiki-1M,implicit-scaffold,128,pivot-ternary,float32,1000000,768,256,4,4,4096,12,1234,161.212682,623.525889,0,0,0,0,nan,0.230042,0.303894,14.840088
Wiki-1M,implicit-scaffold,128,pivot-ternary,float32,1000000,768,256,8,4,4096,12,1234,154.815475,1241.364896,0,0,0,0,nan,0.369832,0.488564,27.589355
Wiki-1M,implicit-scaffold,128,pivot-ternary,float32,1000000,768,256,16,4,4096,12,1234,156.038283,2498.386268,0,0,0,0,nan,0.526489,0.695514,49.412354
Wiki-1M,implicit-scaffold,128,pivot-ternary,float32,1000000,768,256,32,4,4096,12,1234,154.639073,5031.333236,0,0,0,0,nan,0.651489,0.860645,85.195557
Wiki-1M,implicit-native,0,native-nn-descent,float32,1000000,768,0,1,12,4096,12,1234,6685.282689,6685.282689,0,0,0,0,nan,0.997437,nan,12
Wiki-1M,implicit-native,2,native-nn-descent,float32,1000000,768,0,1,12,4096,12,1234,6685.282689,6685.282689,0,0,0,0,nan,0.997437,0.996408,12
Wiki-1M,implicit-native,8,native-nn-descent,float32,1000000,768,0,1,12,4096,12,1234,6685.282689,6685.282689,0,0,0,0,nan,0.997437,0.997210,12
Wiki-1M,implicit-native,128,native-nn-descent,float32,1000000,768,0,1,12,4096,12,1234,6685.282689,6685.282689,0,0,0,0,nan,0.997437,0.997500,12
Wiki-1M,implicit-native,0,native-nn-descent,float32,1000000,768,0,1,32,4096,12,1234,6454.339567,6454.339567,0,0,0,0,nan,0.997660,nan,32
Wiki-1M,implicit-native,2,native-nn-descent,float32,1000000,768,0,1,32,4096,12,1234,6454.339567,6454.339567,0,0,0,0,nan,0.997660,0.995395,32
Wiki-1M,implicit-native,8,native-nn-descent,float32,1000000,768,0,1,32,4096,12,1234,6454.339567,6454.339567,0,0,0,0,nan,0.997660,0.997248,32
Wiki-1M,implicit-native,128,native-nn-descent,float32,1000000,768,0,1,32,4096,12,1234,6454.339567,6454.339567,0,0,0,0,nan,0.997660,0.997635,32
Wiki-1M,implicit-native,0,native-nn-descent,float32,1000000,768,0,1,64,4096,12,1234,7640.274771,7640.274771,0,0,0,0,nan,0.998820,nan,64
Wiki-1M,implicit-native,2,native-nn-descent,float32,1000000,768,0,1,64,4096,12,1234,7640.274771,7640.274771,0,0,0,0,nan,0.998820,0.997789,64
Wiki-1M,implicit-native,8,native-nn-descent,float32,1000000,768,0,1,64,4096,12,1234,7640.274771,7640.274771,0,0,0,0,nan,0.998820,0.998661,64
Wiki-1M,implicit-native,128,native-nn-descent,float32,1000000,768,0,1,64,4096,12,1234,7640.274771,7640.274771,0,0,0,0,nan,0.998820,0.998817,64
OpenAI-2M,partition,0,pivot-binary,float32,2321096,1536,256,1,0,4096,12,1234,244.394964,244.394964,16831,1,137.906007,256,0.044291,nan,nan,nan
OpenAI-2M,partition,0,pivot-binary,float32,2321096,1536,256,2,0,4096,12,1234,250.344089,494.739053,16779,1,138.333393,256,0.085286,nan,nan,nan
OpenAI-2M,partition,0,pivot-binary,float32,2321096,1536,256,4,0,4096,12,1234,242.798872,976.513928,16691,1,139.062728,256,0.158346,nan,nan,nan
OpenAI-2M,partition,0,pivot-binary,float32,2321096,1536,256,8,0,4096,12,1234,244.704247,1950.617477,16705,1,138.946184,256,0.279297,nan,nan,nan
OpenAI-2M,partition,0,pivot-binary,float32,2321096,1536,256,16,0,4096,12,1234,246.090537,3905.081424,16666,1,139.271331,256,0.447571,nan,nan,nan
OpenAI-2M,partition,0,pivot-binary,float32,2321096,1536,256,32,0,4096,12,1234,241.526423,7788.487206,16677,1,139.179469,256,0.651754,nan,nan,nan
OpenAI-2M,partition,0,pivot-ternary,float32,2321096,1536,256,1,0,4096,12,1234,458.602620,458.602620,20471,1,113.384593,256,0.051046,nan,nan,nan
OpenAI-2M,partition,0,pivot-ternary,float32,2321096,1536,256,2,0,4096,12,1234,454.273988,912.876608,20687,1,112.200706,256,0.092916,nan,nan,nan
OpenAI-2M,partition,0,pivot-ternary,float32,2321096,1536,256,4,0,4096,12,1234,449.225469,1822.870754,20665,1,112.320155,256,0.173482,nan,nan,nan
OpenAI-2M,partition,0,pivot-ternary,float32,2321096,1536,256,8,0,4096,12,1234,452.028131,3651.275990,20601,1,112.669094,256,0.303365,nan,nan,nan
OpenAI-2M,partition,0,pivot-ternary,float32,2321096,1536,256,16,0,4096,12,1234,466.148277,7311.276724,20793,1,111.628721,256,0.488586,nan,nan,nan
OpenAI-2M,partition,0,pivot-ternary,float32,2321096,1536,256,32,0,4096,12,1234,464.431785,14642.318878,20763,1,111.790011,256,0.691366,nan,nan,nan
OpenAI-2M,implicit-scaffold,2,pivot-binary,float32,2321096,1536,256,1,4,4096,12,1234,462.072086,462.072086,0,0,0,0,nan,0.016703,0.041062,3.999023
OpenAI-2M,implicit-scaffold,2,pivot-binary,float32,2321096,1536,256,2,4,4096,12,1234,403.544205,865.616291,0,0,0,0,nan,0.032410,0.079674,7.952393
OpenAI-2M,implicit-scaffold,2,pivot-binary,float32,2321096,1536,256,4,4,4096,12,1234,398.818809,1658.808315,0,0,0,0,nan,0.060608,0.148995,15.743408
