max_iters,term_thresh,ivf_sel,ivf_frac,ivf_cols,rand_cols,nn_iters,assembly_s,nndescent_s,optimize_s,build_s,search_s,recall,mean_q_recall,min_q_recall,succeeded,error_message
15,0.000100,closest,0.750000,96,32,15,0.233553,5.917118,0.599803,6.516921,0.006670,0.976083,0.976083,0.000000,1,
15,0.000100,closest,1.000000,128,0,15,0.205438,5.806522,0.609949,6.416471,0.006485,0.983417,0.983417,0.000000,1,
17,0.000100,closest,0.000000,0,128,17,0.212087,7.297768,0.606631,7.904399,0.006677,0.974250,0.974250,0.166667,1,
17,0.000100,closest,0.250000,32,96,17,0.234029,7.111703,0.607393,7.719096,0.006737,0.965750,0.965750,0.000000,1,
17,0.000100,closest,0.500000,64,64,17,0.232032,6.861396,0.612188,7.473584,0.006756,0.964417,0.964417,0.000000,1,
17,0.000100,closest,0.750000,96,32,17,0.237399,6.550740,0.603714,7.154454,0.006625,0.977500,0.977500,0.000000,1,
17,0.000100,closest,1.000000,128,0,17,0.205558,6.433229,0.606743,7.039972,0.006444,0.981250,0.981250,0.000000,1,
20,0.000100,closest,0.000000,0,128,20,0.212736,8.232904,0.606094,8.838999,0.006671,0.977167,0.977167,0.000000,1,
20,0.000100,closest,0.250000,32,96,20,0.233115,8.040867,0.615846,8.656712,0.006734,0.967667,0.967667,0.000000,1,
20,0.000100,closest,0.500000,64,64,20,0.241883,7.806240,0.611881,8.418121,0.006728,0.969667,0.969667,0.000000,1,
20,0.000100,closest,0.750000,96,32,20,0.241487,7.498567,0.603142,8.101708,0.006640,0.977667,0.977667,0.000000,1,
20,0.000100,closest,1.000000,128,0,20,0.212772,7.351787,0.609407,7.961194,0.006440,0.983833,0.983833,0.000000,1,
