source,dataset,parts,implementation,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,configuration,merge_seconds,recall,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_count_rank_le_16,preopt_count_rank_le_32,preopt_count_rank_le_64,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,quality_sample_rows,missing_candidates,dtype,graph_degree,intermediate_graph_degree,itopk,merge_api_e2e_ms_instrumented,merge_api_ms_excluding_quality_measurement,oracle_partition_build_ms_excluded,preopt_fraction_rank_le_output_degree,qps,quality_measurement_ms,queries,rows,search_ms
seed,OpenAI-2M,128,k4-scaffold-seed3,2,4,4,3,0,k4-r2,1.72235283,0.7935,7.936447,13.477368,2.661057,6.095757,5.913438723253,7.046128439093001,7.807344816651,0.745099,0.887819,0.983733,65536,0,float32,64,128,160,1723.126034,1722.35283,191571.057074,0.983733,31800.48508,0.773204,20000,2321096,628.921224
seed,OpenAI-2M,128,k4-scaffold-seed4,2,4,4,4,0,k4-r2,1.7289890319999999,0.796637,7.930557,12.998099,2.567276,5.904537,6.003296829531,7.110608781213,7.81445364552,0.756983,0.896609,0.98536,65536,0,float32,64,128,160,1729.715357,1728.989032,191571.057074,0.98536,31854.06572,0.726325,20000,2321096,627.863337
seed,OpenAI-2M,128,k4-scaffold-seed5,2,4,4,5,0,k4-r2,1.712308405,0.797037,7.936996,13.073724,2.573242,5.945744,5.991670028384,7.105944896824,7.820814252551999,0.754904,0.895294,0.985362,65536,0,float32,64,128,160,1713.03085,1712.308405,191571.057074,0.985362,31789.930865,0.722445,20000,2321096,629.130025
seed,OpenAI-2M,128,k4-scaffold-seed6,2,4,4,6,0,k4-r2,1.727542623,0.794508,7.935959,13.419361,2.649124,6.076389,5.927082082576,7.058178446928,7.803372932987,0.746864,0.889392,0.983293,65536,0,float32,64,128,160,1728.300987,1727.542623,191571.057074,0.983293,31816.610989,0.758364,20000,2321096,628.602462
seed,OpenAI-2M,128,k4-scaffold-seed7,2,4,4,7,0,k4-r2,1.723065114,0.795529,7.93396,13.129008,2.572998,5.953175,5.98590306536,7.09370603224,7.8135224872,0.754466,0.894094,0.98482,65536,0,float32,64,128,160,1723.804399,1723.065114,191571.057074,0.98482,31773.044533,0.739285,20000,2321096,629.464387
seed,OpenAI-2M,128,k4-scaffold-seed8,2,4,4,8,0,k4-r2,1.723722559,0.795863,7.937241,13.219536,2.618088,5.993675,5.966551055556001,7.0847813166,7.817761711227,0.751716,0.8926,0.984947,65536,0,float32,64,128,160,1724.450603,1723.722559,191571.057074,0.984947,31837.553139,0.728044,20000,2321096,628.188979
seed,OpenAI-2M,128,k4-scaffold-seed9,2,4,4,9,0,k4-r2,1.71913833,0.796217,7.934494,13.064622,2.577576,5.919811,5.997652276624,7.107497559368,7.8170317508239995,0.755896,0.895772,0.985196,65536,0,float32,64,128,160,1719.883014,1719.13833,191571.057074,0.985196,31778.795886,0.744684,20000,2321096,629.350466
seed,OpenAI-2M,128,k4-scaffold-seed10,2,4,4,10,0,k4-r2,1.72723946,0.798042,7.933472,13.082236,2.587646,5.921776,5.99191339744,7.100512974304,7.816818227712,0.75527,0.895007,0.985296,65536,0,float32,64,128,160,1727.965025,1727.23946,191571.057074,0.985296,31837.960623,0.725565,20000,2321096,628.180939
seed,OpenAI-2M,128,k4-scaffold-seed11,2,4,4,11,0,k4-r2,1.7215522650000001,0.796325,7.933807,13.19719,2.619019,5.986767,5.971133890533,7.084516762071,7.8105791096759996,0.752619,0.892953,0.984468,65536,0,float32,64,128,160,1722.274389,1721.552265,191571.057074,0.984468,31772.602366,0.722124,20000,2321096,629.473147
seed,OpenAI-2M,128,k4-scaffold-seed12,2,4,4,12,0,k4-r2,1.734216185,0.794488,7.937393,13.287069,2.600266,6.007854,5.947552074044,7.077424092808,7.814466594609,0.749308,0.891656,0.984513,65536,0,float32,64,128,160,1734.96335,1734.216185,191571.057074,0.984513,31819.391049,0.747165,20000,2321096,628.547541
