dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-seed30,float32,1000000,10000,64,128,160,2,4,4,30,0,65536,95587.846848,404.621901,0.691324,403.930577,153.893917,0.927000,64979.826331,7.796860,15.289644,4.765823,8.567390,0.686666,0.872941,0.981195,0.981195,0
Wiki-1M,128,k4-scaffold-seed31,float32,1000000,10000,64,128,160,2,4,4,31,0,65536,95587.846848,411.730187,0.687324,411.042863,154.821882,0.928667,64590.352932,7.788330,14.996260,4.672791,8.420807,0.695013,0.877737,0.982457,0.982457,0
Wiki-1M,128,k4-scaffold-seed32,float32,1000000,10000,64,128,160,2,4,4,32,0,65536,95587.846848,404.550901,0.694125,403.856776,154.756203,0.929358,64617.765273,7.787170,14.994118,4.674728,8.414497,0.694886,0.877678,0.982416,0.982416,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,95587.846848,404.877462,0.708485,404.168977,153.641996,0.929875,65086.371307,7.784622,15.058490,4.688721,8.482121,0.692569,0.876714,0.982290,0.982290,0
OpenAI-2M,128,k4-scaffold-seed1,float32,2321096,20000,64,128,160,2,4,4,1,0,65536,191571.057074,1696.087543,0.774325,1695.313218,627.944818,0.790725,31849.932393,7.939804,13.638980,2.710663,6.165169,0.741230,0.885287,0.982586,0.982586,0
OpenAI-2M,128,k4-scaffold-seed2,float32,2321096,20000,64,128,160,2,4,4,2,0,65536,191571.057074,1727.337301,0.716845,1726.620456,627.975377,0.795333,31848.382488,7.935455,13.213092,2.604568,5.975349,0.752722,0.892483,0.984246,0.984246,0
OpenAI-2M,128,k4-scaffold-seed3,float32,2321096,20000,64,128,160,2,4,4,3,0,65536,191571.057074,1723.126034,0.773204,1722.352830,628.921224,0.793500,31800.485080,7.936447,13.477368,2.661057,6.095757,0.745099,0.887819,0.983733,0.983733,0
OpenAI-2M,128,k4-scaffold-seed4,float32,2321096,20000,64,128,160,2,4,4,4,0,65536,191571.057074,1729.715357,0.726325,1728.989032,627.863337,0.796637,31854.065720,7.930557,12.998099,2.567276,5.904537,0.756983,0.896609,0.985360,0.985360,0
OpenAI-2M,128,k4-scaffold-seed5,float32,2321096,20000,64,128,160,2,4,4,5,0,65536,191571.057074,1713.030850,0.722445,1712.308405,629.130025,0.797037,31789.930865,7.936996,13.073724,2.573242,5.945744,0.754904,0.895294,0.985362,0.985362,0
OpenAI-2M,128,k4-scaffold-seed6,float32,2321096,20000,64,128,160,2,4,4,6,0,65536,191571.057074,1728.300987,0.758364,1727.542623,628.602462,0.794508,31816.610989,7.935959,13.419361,2.649124,6.076389,0.746864,0.889392,0.983293,0.983293,0
OpenAI-2M,128,k4-scaffold-seed7,float32,2321096,20000,64,128,160,2,4,4,7,0,65536,191571.057074,1723.804399,0.739285,1723.065114,629.464387,0.795529,31773.044533,7.933960,13.129008,2.572998,5.953175,0.754466,0.894094,0.984820,0.984820,0
OpenAI-2M,128,k4-scaffold-seed8,float32,2321096,20000,64,128,160,2,4,4,8,0,65536,191571.057074,1724.450603,0.728044,1723.722559,628.188979,0.795863,31837.553139,7.937241,13.219536,2.618088,5.993675,0.751716,0.892600,0.984947,0.984947,0
OpenAI-2M,128,k4-scaffold-seed9,float32,2321096,20000,64,128,160,2,4,4,9,0,65536,191571.057074,1719.883014,0.744684,1719.138330,629.350466,0.796217,31778.795886,7.934494,13.064622,2.577576,5.919811,0.755896,0.895772,0.985196,0.985196,0
OpenAI-2M,128,k4-scaffold-seed10,float32,2321096,20000,64,128,160,2,4,4,10,0,65536,191571.057074,1727.965025,0.725565,1727.239460,628.180939,0.798042,31837.960623,7.933472,13.082236,2.587646,5.921776,0.755270,0.895007,0.985296,0.985296,0
OpenAI-2M,128,k4-scaffold-seed11,float32,2321096,20000,64,128,160,2,4,4,11,0,65536,191571.057074,1722.274389,0.722124,1721.552265,629.473147,0.796325,31772.602366,7.933807,13.197190,2.619019,5.986767,0.752619,0.892953,0.984468,0.984468,0
OpenAI-2M,128,k4-scaffold-seed12,float32,2321096,20000,64,128,160,2,4,4,12,0,65536,191571.057074,1734.963350,0.747165,1734.216185,628.547541,0.794488,31819.391049,7.937393,13.287069,2.600266,6.007854,0.749308,0.891656,0.984513,0.984513,0
OpenAI-2M,128,k4-scaffold-seed13,float32,2321096,20000,64,128,160,2,4,4,13,0,65536,191571.057074,1734.395626,0.710284,1733.685342,629.351746,0.796354,31778.731253,7.937469,13.243546,2.598663,5.982395,0.751523,0.892518,0.984137,0.984137,0
OpenAI-2M,128,k4-scaffold-seed14,float32,2321096,20000,64,128,160,2,4,4,14,0,65536,191571.057074,1722.477710,0.793685,1721.684025,628.719303,0.793138,31810.698200,7.942551,13.598611,2.659515,6.129646,0.741936,0.885826,0.983031,0.983031,0
OpenAI-2M,128,k4-scaffold-seed15,float32,2321096,20000,64,128,160,2,4,4,15,0,65536,191571.057074,1726.874138,0.712924,1726.161214,629.284906,0.796775,31782.106657,7.933685,13.074637,2.612198,5.950790,0.755471,0.894990,0.984823,0.984823,0
OpenAI-2M,128,k4-scaffold-seed16,float32,2321096,20000,64,128,160,2,4,4,16,0,65536,191571.057074,1739.028615,0.733644,1738.294971,627.979578,0.798842,31848.169432,7.931458,13.032149,2.570892,5.889999,0.757234,0.895482,0.985027,0.985027,0
OpenAI-2M,128,k4-scaffold-seed17,float32,2321096,20000,64,128,160,2,4,4,17,0,65536,191571.057074,1719.201290,0.765964,1718.435326,629.192346,0.791583,31786.782098,7.936951,13.394878,2.642624,6.063919,0.747343,0.889550,0.984166,0.984166,0
OpenAI-2M,128,k4-scaffold-seed18,float32,2321096,20000,64,128,160,2,4,4,18,0,65536,191571.057074,1722.745752,0.725524,1722.020228,628.605781,0.796113,31816.442999,7.933670,13.055862,2.548813,5.896240,0.755976,0.895773,0.985004,0.985004,0
OpenAI-2M,128,k4-scaffold-seed19,float32,2321096,20000,64,128,160,2,4,4,19,0,65536,191571.057074,1726.139654,0.739524,1725.400130,628.987304,0.798217,31797.144192,7.931808,12.978392,2.567490,5.882401,0.757904,0.896795,0.985356,0.985356,0
OpenAI-2M,128,k4-scaffold-seed20,float32,2321096,20000,64,128,160,2,4,4,20,0,65536,191571.057074,1728.082786,0.735685,1727.347101,628.342420,0.795288,31829.778419,7.934341,13.028989,2.565277,5.895695,0.757162,0.895759,0.985259,0.985259,0
OpenAI-2M,128,k4-scaffold-seed21,float32,2321096,20000,64,128,160,2,4,4,21,0,65536,191571.057074,1725.098327,0.757245,1724.341082,629.875989,0.795338,31752.281956,7.934814,13.122594,2.577347,5.932198,0.753888,0.894388,0.985399,0.985399,0
OpenAI-2M,128,k4-scaffold-seed22,float32,2321096,20000,64,128,160,2,4,4,22,0,65536,191571.057074,1721.943307,0.769045,1721.174262,628.267300,0.794117,31833.584209,7.937836,13.425271,2.629257,6.052105,0.746993,0.889445,0.983382,0.983382,0
OpenAI-2M,128,k4-scaffold-seed23,float32,2321096,20000,64,128,160,2,4,4,23,0,65536,191571.057074,1718.011762,0.745045,1717.266717,629.231426,0.797863,31784.807900,7.931412,13.038194,2.569931,5.915264,0.756807,0.895368,0.985394,0.985394,0
OpenAI-2M,128,k4-scaffold-seed24,float32,2321096,20000,64,128,160,2,4,4,24,0,65536,191571.057074,1722.227669,0.737805,1721.489864,628.521901,0.798204,31820.689093,7.930374,12.819824,2.514542,5.802834,0.762694,0.899168,0.986054,0.986054,0
OpenAI-2M,128,k4-scaffold-seed25,float32,2321096,20000,64,128,160,2,4,4,25,0,65536,191571.057074,1717.566119,0.730925,1716.835194,629.253986,0.794883,31783.668352,7.936630,13.218320,2.626602,6.005745,0.751313,0.892859,0.985152,0.985152,0
OpenAI-2M,128,k4-scaffold-seed26,float32,2321096,20000,64,128,160,2,4,4,26,0,65536,191571.057074,1729.794636,0.720965,1729.073671,628.214219,0.795554,31836.273989,7.935974,13.268668,2.641663,6.027508,0.751273,0.891298,0.984230,0.984230,0
OpenAI-2M,128,k4-scaffold-seed27,float32,2321096,20000,64,128,160,2,4,4,27,0,65536,191571.057074,1741.149188,0.756444,1740.392744,629.754189,0.796446,31758.423127,7.933807,13.061181,2.564240,5.882416,0.756417,0.894967,0.984620,0.984620,0
OpenAI-2M,128,k4-scaffold-seed28,float32,2321096,20000,64,128,160,2,4,4,28,0,65536,191571.057074,1729.164392,0.745164,1728.419228,628.265220,0.797121,31833.689600,7.933334,13.296615,2.629944,6.035740,0.748786,0.891466,0.984848,0.984848,0
OpenAI-2M,128,k4-scaffold-seed29,float32,2321096,20000,64,128,160,2,4,4,29,0,65536,191571.057074,1718.119443,0.719444,1717.399999,629.502267,0.796117,31771.132605,7.935104,13.278024,2.615677,6.024094,0.749817,0.891473,0.984834,0.984834,0
OpenAI-2M,128,k4-scaffold-seed30,float32,2321096,20000,64,128,160,2,4,4,30,0,65536,191571.057074,1726.882139,0.767564,1726.114575,628.377420,0.796900,31828.005532,7.936432,13.231194,2.603622,5.977795,0.751960,0.892346,0.984131,0.984131,0
OpenAI-2M,128,k4-scaffold-seed31,float32,2321096,20000,64,128,160,2,4,4,31,0,65536,191571.057074,1738.740974,0.722884,1738.018090,629.186585,0.796162,31787.073146,7.934677,13.055774,2.558350,5.899101,0.756519,0.895230,0.984789,0.984789,0
OpenAI-2M,128,k4-scaffold-seed32,float32,2321096,20000,64,128,160,2,4,4,32,0,65536,191571.057074,1723.599558,0.731124,1722.868434,628.460700,0.797446,31823.787868,7.936005,13.205107,2.595139,5.968681,0.751630,0.893137,0.984878,0.984878,0
OpenAI-2M,128,k4-scaffold-seed1234,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,191571.057074,1738.964815,0.787205,1738.177610,629.369586,0.796429,31777.830459,7.933807,13.039612,2.575058,5.897564,0.756767,0.895719,0.985181,0.985181,0
YFCC-10M,128,k4-scaffold-seed1,uint8,10000000,100000,64,128,160,2,4,4,1,0,65536,53810.409238,1753.221045,0.687164,1752.533881,291.229614,0.831209,343371.673734,7.871353,9.772749,1.615265,3.993015,0.853554,0.944539,0.990294,0.990294,0
YFCC-10M,128,k4-scaffold-seed2,uint8,10000000,100000,64,128,160,2,4,4,2,0,65536,53810.409238,1738.522346,0.654245,1737.868101,295.472683,0.830028,338440.762052,7.871292,9.881348,1.628021,4.024506,0.849936,0.942658,0.990144,0.990144,0
YFCC-10M,128,k4-scaffold-seed3,uint8,10000000,100000,64,128,160,2,4,4,3,0,65536,53810.409238,1747.980650,0.654724,1747.325926,294.816678,0.832126,339193.836246,7.868393,9.639534,1.591766,3.946278,0.857172,0.946467,0.990920,0.990920,0
YFCC-10M,128,k4-scaffold-seed4,uint8,10000000,100000,64,128,160,2,4,4,4,0,65536,53810.409238,1780.928073,0.612925,1780.315148,295.615604,0.831922,338277.136413,7.865234,9.696612,1.593140,3.943607,0.856168,0.945208,0.990441,0.990441,0
YFCC-10M,128,k4-scaffold-seed5,uint8,10000000,100000,64,128,160,2,4,4,5,0,65536,53810.409238,1754.252253,0.616805,1753.635448,295.662044,0.829450,338224.002808,7.869751,9.895192,1.617477,4.016682,0.851190,0.942197,0.989330,0.989330,0
YFCC-10M,128,k4-scaffold-seed6,uint8,10000000,100000,64,128,160,2,4,4,6,0,65536,53810.409238,1751.051390,0.617085,1750.434305,296.267809,0.830398,337532.451931,7.869919,9.846356,1.614761,3.991901,0.851913,0.943282,0.989800,0.989800,0
YFCC-10M,128,k4-scaffold-seed7,uint8,10000000,100000,64,128,160,2,4,4,7,0,65536,53810.409238,1750.737029,0.635845,1750.101184,296.906693,0.832309,336806.149399,7.870270,9.729863,1.604614,3.975338,0.854825,0.945121,0.990461,0.990461,0
YFCC-10M,128,k4-scaffold-seed8,uint8,10000000,100000,64,128,160,2,4,4,8,0,65536,53810.409238,1743.795381,0.612844,1743.182537,296.574810,0.831059,337183.053409,7.866989,9.820254,1.606476,3.977341,0.852851,0.943339,0.989854,0.989854,0
YFCC-10M,128,k4-scaffold-seed9,uint8,10000000,100000,64,128,160,2,4,4,9,0,65536,53810.409238,1740.661800,0.620884,1740.040916,297.190495,0.830927,336484.516438,7.868988,9.780633,1.625061,3.992786,0.853373,0.944776,0.990029,0.990029,0
YFCC-10M,128,k4-scaffold-seed10,uint8,10000000,100000,64,128,160,2,4,4,10,0,65536,53810.409238,1743.892782,0.615524,1743.277258,298.680624,0.829503,334805.782380,7.872955,9.850665,1.618530,3.998909,0.850592,0.943349,0.990292,0.990292,0
YFCC-10M,128,k4-scaffold-seed11,uint8,10000000,100000,64,128,160,2,4,4,11,0,65536,53810.409238,1768.240987,0.644805,1767.596182,297.956900,0.829792,335619.010669,7.869690,9.821232,1.619934,3.994713,0.851949,0.943887,0.990125,0.990125,0
YFCC-10M,128,k4-scaffold-seed12,uint8,10000000,100000,64,128,160,2,4,4,12,0,65536,53810.409238,1747.641288,0.617164,1747.024124,297.895539,0.832614,335688.142010,7.868942,9.746709,1.591705,3.951775,0.854927,0.944592,0.990008,0.990008,0
YFCC-10M,128,k4-scaffold-seed13,uint8,10000000,100000,64,128,160,2,4,4,13,0,65536,53810.409238,1773.405262,0.616524,1772.788738,298.710785,0.829592,334771.976847,7.871902,9.994074,1.634583,4.033051,0.847728,0.940947,0.989252,0.989252,0
YFCC-10M,128,k4-scaffold-seed14,uint8,10000000,100000,64,128,160,2,4,4,14,0,65536,53810.409238,1757.849276,0.619844,1757.229432,298.299822,0.831936,335233.186964,7.866699,9.753763,1.615875,3.991234,0.854244,0.944496,0.990439,0.990439,0
YFCC-10M,128,k4-scaffold-seed15,uint8,10000000,100000,64,128,160,2,4,4,15,0,65536,53810.409238,1757.404274,0.616004,1756.788270,298.894906,0.832572,334565.755363,7.866669,9.724694,1.598633,3.961029,0.855025,0.945101,0.990265,0.990265,0
YFCC-10M,128,k4-scaffold-seed16,uint8,10000000,100000,64,128,160,2,4,4,16,0,65536,53810.409238,1766.889938,0.623604,1766.266334,298.560344,0.832531,334940.664457,7.870499,9.710049,1.599930,3.951794,0.855479,0.945566,0.990425,0.990425,0
YFCC-10M,128,k4-scaffold-seed17,uint8,10000000,100000,64,128,160,2,4,4,17,0,65536,53810.409238,1753.769169,0.618164,1753.151005,298.374223,0.829638,335149.595010,7.868301,9.809515,1.609848,3.989510,0.852189,0.943796,0.990505,0.990505,0
YFCC-10M,128,k4-scaffold-seed18,uint8,10000000,100000,64,128,160,2,4,4,18,0,65536,53810.409238,1751.818716,0.612484,1751.206232,298.762825,0.832342,334713.664593,7.866592,9.616165,1.590179,3.938625,0.857215,0.947244,0.991161,0.991161,0
YFCC-10M,128,k4-scaffold-seed19,uint8,10000000,100000,64,128,160,2,4,4,19,0,65536,53810.409238,1753.669928,0.629724,1753.040204,298.753305,0.827850,334724.330497,7.874069,10.030056,1.637238,4.050983,0.846586,0.940494,0.989152,0.989152,0
YFCC-10M,128,k4-scaffold-seed20,uint8,10000000,100000,64,128,160,2,4,4,20,0,65536,53810.409238,1780.635391,0.617844,1780.017547,299.201148,0.829700,334223.316550,7.871262,9.895735,1.624802,4.013046,0.849195,0.943028,0.990253,0.990253,0
YFCC-10M,128,k4-scaffold-seed21,uint8,10000000,100000,64,128,160,2,4,4,21,0,65536,53810.409238,1752.729082,0.625044,1752.104038,298.912627,0.830753,334545.920671,7.870377,9.797062,1.604431,3.987549,0.852377,0.944299,0.990403,0.990403,0
