dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,2,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,7214.911068,488.526290,1.033328,487.492962,148.498289,0.991750,67340.843234,13.956589,58.553868,32.372650,42.219585,0.063810,0.146681,0.442307,0.442307,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap64,float32,1000000,10000,64,128,160,2,8,8,1234,64,65536,7214.911068,430.903563,1.001567,429.901996,146.294993,0.992133,68355.039328,13.956589,58.553868,32.372650,42.219585,0.063810,0.146681,0.442307,0.442307,0
OpenAI-2M,2,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,18129.216299,1979.561458,0.799285,1978.762173,601.229685,0.959421,33265.157225,7.948624,48.594332,22.035645,36.045708,0.116741,0.248686,0.673187,0.673187,0
OpenAI-2M,2,k4-scaffold-repeat2-cap64,float32,2321096,20000,64,128,160,2,4,4,1234,64,65536,18129.216299,1905.874138,0.808646,1905.065492,597.373498,0.960167,33479.891671,7.948624,48.594332,22.035645,36.045708,0.116741,0.248686,0.673187,0.673187,0
OpenAI-2M,2,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,18129.216299,2140.058752,0.943047,2139.115705,608.409256,0.957412,32872.609683,15.897308,58.892256,22.035645,36.044827,0.060258,0.138119,0.452017,0.452017,0
OpenAI-2M,2,k4-scaffold-repeat2-k8-cap64,float32,2321096,20000,64,128,160,2,8,8,1234,64,65536,18129.216299,2006.856052,0.930207,2005.925845,597.545979,0.960304,33470.227736,15.897308,58.892256,22.035645,36.044827,0.060258,0.138119,0.452017,0.452017,0
YFCC-10M,2,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,22323.331676,1865.278251,0.745525,1864.532726,289.592605,0.985273,345312.685039,7.895157,43.483944,17.173111,30.049225,0.165134,0.334357,0.753930,0.753930,0
YFCC-10M,2,k4-scaffold-repeat2-cap64,uint8,10000000,100000,64,128,160,2,4,4,1234,64,65536,22323.331676,1484.822525,0.700325,1484.122200,291.571539,0.985469,342969.002883,7.895157,43.483944,17.173111,30.049225,0.165134,0.334357,0.753930,0.753930,0
YFCC-10M,2,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,22323.331676,2100.748194,0.824206,2099.923988,293.897555,0.984631,340254.616953,15.805252,54.551138,17.173111,30.045486,0.086517,0.192850,0.548250,0.548250,0
YFCC-10M,2,k4-scaffold-repeat2-k8-cap64,uint8,10000000,100000,64,128,160,2,8,8,1234,64,65536,22323.331676,1517.363635,0.826966,1516.536669,292.965149,0.985532,341337.528854,15.805252,54.551138,17.173111,30.045486,0.086517,0.192850,0.548250,0.548250,0
