dataset,parts,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_repeats,candidate_budget,source,merge_seconds,recall,preopt_count_rank_le_16,preopt_best_candidate_rank_mean,merge_slowdown_vs_k4_same_repeats_x,recall_delta_vs_k4_same_repeats,count16_delta_vs_k4_same_repeats,merge_speedup_vs_k4_same_budget_x,recall_delta_vs_k4_same_budget
YFCC-10M,128,2,2,2,4,variant,1.639820034,0.792412000,3.651933395,1.590088000,0.936213659,-0.040733000,-3.090449878,0.898880526,0.107747000
YFCC-10M,128,2,2,4,8,variant,2.071478673,0.894168000,6.916245701,1.229889000,0.895482666,-0.022413000,-4.406772691,0.845552832,0.061023000
YFCC-10M,128,4,4,1,4,repeat,1.474002294,0.684665000,3.544327783,3.530365000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
YFCC-10M,128,4,4,2,8,repeat,1.751544659,0.833145000,6.742383274,1.589737000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
YFCC-10M,128,4,4,4,16,repeat,2.313253791,0.916581000,11.323018392,1.229858000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
YFCC-10M,128,4,4,8,32,repeat,3.463417426,0.959776000,13.462999289,1.149719000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
YFCC-10M,128,4,4,16,64,repeat,7.032553643,0.978861000,13.320605378,1.126404000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
YFCC-10M,128,4,4,32,128,repeat,18.188275069,0.986170000,12.104889493,1.118011000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
YFCC-10M,128,8,8,1,8,variant,1.580485026,0.708952000,6.194946746,3.529236000,1.072240547,0.024287000,2.650618963,1.108232365,-0.124193000
YFCC-10M,128,8,8,2,16,variant,1.983188613,0.848141000,10.326391474,1.588806000,1.132251241,0.014996000,3.584008200,1.166431562,-0.068440000
YFCC-10M,128,8,8,4,32,variant,2.867368567,0.923098000,12.950436715,1.229599000,1.239539119,0.006517000,1.627418323,1.207873123,-0.036678000
YFCC-10M,128,16,16,1,16,variant,1.819995300,0.712357000,8.429247596,3.529236000,1.234730304,0.027692000,4.884919813,1.271021849,-0.204224000
YFCC-10M,128,16,16,2,32,variant,2.573064198,0.848308000,11.362605921,1.588806000,1.469025745,0.015163000,4.620222647,1.346028377,-0.111468000
YFCC-10M,128,16,16,4,64,variant,5.366135458,0.921098000,13.255694014,1.229599000,2.319734860,0.004517000,1.932675622,1.310543444,-0.057763000
YFCC-10M,128,32,32,1,32,variant,2.366879911,0.705811000,8.427640593,3.529236000,1.605750493,0.021146000,4.883312811,1.463283967,-0.253965000
YFCC-10M,128,32,32,2,64,variant,5.106323606,0.841363000,11.377104041,1.588806000,2.915325955,0.008218000,4.634720767,1.377224435,-0.137498000
YFCC-10M,128,32,32,4,128,variant,15.159162405,0.915290000,13.298537357,1.229599000,6.553177375,-0.001291000,1.975518965,1.199820583,-0.070880000
