scope,dataset,parts,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_seed,varying,samples,metric,metric_field,quality_direction,pearson,spearman
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,count rank <= 32,preopt_count_rank_le_32,1,0.930043320,0.904761905
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,count rank <= 64,preopt_count_rank_le_64,1,0.843993125,0.980952381
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,fraction rank <= 16,preopt_fraction_rank_le_16,1,-0.836210148,-1.000000000
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,fraction rank <= 32,preopt_fraction_rank_le_32,1,-0.706672968,-1.000000000
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,fraction rank <= 64,preopt_fraction_rank_le_64,1,-0.561437531,-1.000000000
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,unique scaffold degree,unique_scaffold_degree_mean,1,0.697187254,1.000000000
seed-sweep-mean,mean,,,,,scaffold_seed,99,all-edge mean rank,preopt_candidate_rank_mean,-1,0.735628015,0.703223480
seed-sweep-mean,mean,,,,,scaffold_seed,99,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.684792436,0.612646463
seed-sweep-mean,mean,,,,,scaffold_seed,99,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.699590274,0.653532556
seed-sweep-mean,mean,,,,,scaffold_seed,99,count rank <= 16,preopt_count_rank_le_16,1,0.765415857,0.725451236
seed-sweep-mean,mean,,,,,scaffold_seed,99,count rank <= 32,preopt_count_rank_le_32,1,0.666110534,0.580778058
seed-sweep-mean,mean,,,,,scaffold_seed,99,count rank <= 64,preopt_count_rank_le_64,1,0.279057384,0.210559235
seed-sweep-mean,mean,,,,,scaffold_seed,99,fraction rank <= 16,preopt_fraction_rank_le_16,1,0.765042372,0.728570368
seed-sweep-mean,mean,,,,,scaffold_seed,99,fraction rank <= 32,preopt_fraction_rank_le_32,1,0.692514251,0.626736281
seed-sweep-mean,mean,,,,,scaffold_seed,99,fraction rank <= 64,preopt_fraction_rank_le_64,1,0.542516803,0.473993861
seed-sweep-mean,mean,,,,,scaffold_seed,99,unique scaffold degree,unique_scaffold_degree_mean,1,-0.580205853,-0.559581794
