dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
YFCC-10M,64,binary-cross-query,uint8,10000000,100000,64,128,160,39518.769641,172117.804726,295.433450,0.989058,338485.706341
YFCC-10M,128,k4-scaffold,uint8,10000000,100000,64,128,160,53818.603202,1747.442192,291.876063,0.833433,342611.171921
YFCC-10M,128,binary-cross-query,uint8,10000000,100000,64,128,160,53631.781804,201586.366340,296.219339,0.988459,337587.681944
Wiki-1M,2,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,7319.476436,1162.320044,147.667418,0.993708,67719.745733
Wiki-1M,4,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,8559.075456,1163.881376,147.681778,0.993733,67713.160929
Wiki-1M,8,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,11640.937616,1149.192547,148.227743,0.992150,67463.754069
Wiki-1M,16,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,17944.022213,1143.497944,148.863707,0.990917,67175.540644
Wiki-1M,32,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,29960.438462,1136.441172,149.565872,0.989233,66860.172486
Wiki-1M,64,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,51265.581353,1128.978396,149.681714,0.987258,66808.427915
Wiki-1M,128,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,97757.080599,1123.638196,148.970428,0.986242,67127.416725
OpenAI-2M,2,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,18912.602537,4763.692149,609.006369,0.961217,32840.379047
OpenAI-2M,4,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,22047.290570,4778.300938,611.414667,0.958696,32711.024252
OpenAI-2M,8,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,44483.669834,4763.070664,612.410835,0.953821,32657.815403
OpenAI-2M,16,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,39947.068495,4738.201559,613.976806,0.945400,32574.520413
OpenAI-2M,32,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,62826.827096,4702.678449,614.666801,0.938850,32537.953843
OpenAI-2M,64,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,106075.005457,4644.724489,616.269133,0.930950,32453.353460
OpenAI-2M,128,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,196949.755313,4543.682998,617.001035,0.923763,32414.856484
YFCC-10M,2,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,22076.803010,3549.637235,290.582204,0.986589,344136.697373
YFCC-10M,4,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,21313.057722,3560.749238,290.310562,0.983782,344458.704193
YFCC-10M,8,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,21974.812931,3547.313657,289.548756,0.978972,345364.978878
YFCC-10M,16,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,24371.383378,3529.471325,289.962520,0.974358,344872.157960
YFCC-10M,32,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,30516.276739,3535.318365,288.997327,0.968962,346023.961668
YFCC-10M,64,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,39621.881836,3466.097746,288.918126,0.963894,346118.817066
YFCC-10M,128,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,53916.935449,3446.964048,287.445716,0.959641,347891.773764
Wiki-1M,2,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,7442.011543,2239.104771,149.122861,0.993367,67058.799254
Wiki-1M,2,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,7351.094792,4779.134683,148.271335,0.991517,67443.919622
Wiki-1M,4,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,8360.402164,2237.416598,149.384662,0.994050,66941.276742
Wiki-1M,4,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,8344.122003,4789.187278,146.501281,0.992925,68258.788809
Wiki-1M,8,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,11531.004692,2232.811325,148.696258,0.993833,67251.187989
Wiki-1M,8,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,11555.952156,4790.397766,145.113351,0.993367,68911.646868
Wiki-1M,16,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,17724.148974,2229.252418,148.661298,0.993783,67267.003144
Wiki-1M,16,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,17825.883445,4779.944089,144.479706,0.993825,69213.872847
Wiki-1M,32,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,29798.854959,2217.277892,148.536185,0.993417,67323.662581
Wiki-1M,32,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,29833.594222,4770.129520,144.346914,0.993958,69277.546176
Wiki-1M,64,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,52099.899598,2205.835487,148.837227,0.993200,67187.492011
Wiki-1M,64,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,51567.411398,4779.155307,144.108832,0.994000,69391.999513
Wiki-1M,128,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,97444.949395,2204.949121,149.040629,0.992550,67095.798422
Wiki-1M,128,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,98237.602210,4769.259674,143.899030,0.994042,69493.171705
OpenAI-2M,2,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,18938.400424,8821.465174,615.675140,0.960746,32484.663909
OpenAI-2M,2,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,18935.310680,18497.255902,617.148951,0.957275,32407.087410
OpenAI-2M,4,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,22169.238654,8841.883486,615.254536,0.961475,32506.871270
OpenAI-2M,4,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,22064.577128,18507.923598,613.904283,0.961579,32578.368573
OpenAI-2M,8,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,43877.088270,8809.322314,614.755249,0.959508,32533.272441
OpenAI-2M,8,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,43859.814221,18460.703367,610.834220,0.962429,32742.107998
